cluster_id,classification_label,classification_score,classification_rationale,active_days,persistence_category,max_bright_ti4,bt_diff_max,max_frp,movement_status,total_movement_distance_km,osm_facility_type,osm_facility_name,osm_distance_km,osm_query_status,land_cover_class,satellite_image_available,predicted_landcover_class,prediction_confidence,observation_status
0,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,329.54,39.04,3.14,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.3%, threshold: 30.0%)"
1,Agricultural-context thermal event,0.75,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- minor localized plot displacement
- moderate thermal power typical of crop burning (max_frp=5.3 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,333.41,42.13,5.27,STATIONARY,0.072,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
2,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=55.5 K)
- industrial facility detected nearby (industrial at 0.65 km)
- land-cover context is UNKNOWN",1,isolated,341.86,55.47,8.63,INSUFFICIENT_DATA,0.0,industrial,none,0.653,found,UNKNOWN,True,SeaLake,0.9625,Satellite CNN prediction: SeaLake (confidence: 0.96)
3,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=10.2 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,345.85,51.0,10.2,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.1%, threshold: 30.0%)"
4,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,335.15,38.69,4.34,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,HerbaceousVegetation,0.432,Satellite CNN prediction: HerbaceousVegetation (confidence: 0.43)
5,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,331.65,35.16,2.67,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.8518,Satellite CNN prediction: SeaLake (confidence: 0.85)
6,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,331.79,39.83,2.77,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.996,Satellite CNN prediction: SeaLake (confidence: 1.00)
7,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,331.46,34.17,2.48,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)"
8,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.56,34.93,1.68,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)"
9,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=10.8 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,341.89,42.91,10.81,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)"
10,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.71,35.68,1.56,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)"
11,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.49,37.89,2.37,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.5%, threshold: 30.0%)"
12,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.74,41.29,3.22,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)"
13,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.4 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,335.48,38.41,5.38,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)"
14,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,333.55,38.76,4.81,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)"
15,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.62,34.54,2.46,INSUFFICIENT_DATA,0.0,industrial,none,1.387,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
16,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=9.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.57,40.8,9.09,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
17,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,335.31,36.12,2.33,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
18,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=7.3 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,335.44,38.54,7.3,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 41.9%, threshold: 30.0%)"
19,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.54,40.11,3.02,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 58.2%, threshold: 30.0%)"
20,Agricultural-context thermal event,0.4,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- moderate thermal power typical of crop burning (max_frp=8.5 MW)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,337.35,42.92,8.5,MOVING,0.664,industrial,TATA Steel,0.346,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 92.0%, threshold: 30.0%)"
